new_part_id,participant_id,group_num,background,complexity,min_hotspots,max_hotspots,min_circles,max_circles,kernel,bandwidth,distance
1,1,2,tech,1,4,20,5,10,gaussian,0.0025,euclidean
2,2,1,none,1,13,11,17,14,gaussian,0.005,euclidean
3,3,1,none,1,10,24,50,65,gaussian,0.005,euclidean
4,4,1,none,1,5,15,8,15,linear,0.005,euclidean
5,6,1,none,1,9,16,19,13,gaussian,0.005,euclidean
6,7,1,none,1,50,90,50,55,tophat,0.005,manhattan
7,8,2,tech,1,40,55,20,30,gaussian,0.005,euclidean
8,10,1,none,1,6,12,9,14,gaussian,0.005,euclidean
9,11,1,none,1,10,18,6,10,gaussian,0.005,euclidean
10,12,1,none,1,17,50,5,30,gaussian,0.005,euclidean
11,13,1,none,1,20,28,20,28,gaussian,0.005,euclidean
12,14,1,none,1,25,35,7,15,linear,0.005,euclidean
13,15,1,none,1,5,25,4,10,gaussian,0.005,euclidean
14,16,3,professional,1,10,16,15,25,gaussian,0.005,euclidean
15,17,1,none,1,9,21,6,13,gaussian,0.0075,manhattan
16,18,1,none,1,3,9,3,12,gaussian,0.005,euclidean
17,19,1,none,1,3,27,4,10,gaussian,0.005,euclidean
18,20,1,none,1,130,165,25,40,epanechnikov,0.005,euclidean
19,22,1,none,1,3,9,20,50,gaussian,0.005,euclidean
20,23,1,none,1,3,10,5,12,gaussian,0.005,euclidean
21,24,1,none,1,6,8,10,16,gaussian,0.005,euclidean
22,25,1,none,1,5,16,9,17,gaussian,0.005,euclidean
23,26,1,none,1,50,70,40,60,linear,0.005,euclidean
24,27,1,none,1,10,20,20,30,gaussian,0.005,euclidean
25,28,1,none,1,9,13,3,5,gaussian,0.005,euclidean
26,29,1,none,1,50,80,12,23,gaussian,0.005,euclidean
27,30,1,none,1,5,8,23,40,gaussian,0.005,euclidean
28,31,1,none,1,10,15,10,15,gaussian,0.005,euclidean
29,32,2,tech,1,11,17,49,57,gaussian,0.005,euclidean
30,34,2,tech,1,12,15,60,80,gaussian,0.005,euclidean
31,37,1,none,1,30,45,45,55,gaussian,0.005,euclidean
32,38,1,none,1,15,25,10,20,gaussian,0.005,euclidean
33,40,1,none,1,70,80,30,35,tophat,0.005,manhattan
34,41,1,none,1,9,11,4,5,gaussian,0.005,euclidean
35,42,2,tech,1,6,9,80,105,gaussian,0.005,euclidean
36,43,2,tech,1,6,9,9,14,gaussian,0.005,euclidean
37,44,1,none,1,4,13,5,8,gaussian,0.005,euclidean
38,47,2,tech,1,6,10,14,20,gaussian,0.005,euclidean
39,48,2,tech,1,15,19,8,13,gaussian,0.005,euclidean
40,50,3,professional,1,10,15,18,25,gaussian,0.005,euclidean
41,51,1,none,1,36,56,15,25,gaussian,0.005,euclidean
42,52,1,none,1,11,23,13,16,gaussian,0.005,euclidean
43,53,3,professional,1,8,22,18,23,gaussian,0.005,euclidean
44,54,1,none,1,10,30,10,30,gaussian,0.005,euclidean
45,55,1,none,1,6,12,3,5,gaussian,0.005,euclidean
46,56,1,none,1,25,30,25,30,gaussian,0.005,euclidean
47,57,1,none,1,12,12,3,5,gaussian,0.005,euclidean
48,58,1,none,1,20,50,50,100,gaussian,0.005,euclidean
49,59,3,professional,1,10,20,50,60,gaussian,0.005,euclidean
50,60,3,professional,1,4,6,18,24,gaussian,0.005,euclidean
51,61,3,professional,1,10,18,20,40,gaussian,0.005,euclidean
52,62,3,professional,1,10,15,15,25,gaussian,0.005,euclidean
53,64,2,tech,1,18,25,15,20,gaussian,0.005,euclidean
54,65,2,tech,1,20,40,15,25,epanechnikov,0.0075,manhattan
55,63,1,none,1,50,85,50,70,gaussian,0.005,euclidean
56,66,2,tech,1,20,50,15,30,gaussian,0.005,euclidean
57,67,1,none,1,5,11,20,45,gaussian,0.005,euclidean
58,68,2,tech,1,15,50,25,28,linear,0.005,euclidean
59,69,2,tech,1,5,8,12,16,gaussian,0.005,euclidean
1,1,2,tech,2,5,15,5,9,gaussian,0.0025,euclidean
2,2,1,none,2,8,4,12,8,gaussian,0.005,euclidean
3,3,1,none,2,3,10,50,65,gaussian,0.005,euclidean
4,4,1,none,2,8,20,20,30,linear,0.005,euclidean
5,6,1,none,2,6,9,9,13,gaussian,0.005,euclidean
6,7,1,none,2,60,90,35,45,epanechnikov,0.0075,manhattan
7,8,2,tech,2,23,30,34,40,gaussian,0.005,euclidean
8,10,1,none,2,7,13,5,11,tophat,0.0075,manhattan
9,11,1,none,2,5,9,6,8,gaussian,0.0075,euclidean
10,12,1,none,2,10,18,5,15,gaussian,0.005,euclidean
11,13,1,none,2,12,26,12,26,gaussian,0.005,euclidean
12,14,1,none,2,35,40,7,10,gaussian,0.005,euclidean
13,15,1,none,2,3,6,4,7,gaussian,0.005,euclidean
14,16,3,professional,2,16,22,22,25,gaussian,0.005,euclidean
15,17,1,none,2,5,15,5,9,linear,0.005,manhattan
16,18,1,none,2,2,6,4,8,gaussian,0.005,euclidean
17,19,1,none,2,3,47,2,15,gaussian,0.005,euclidean
18,20,1,none,2,250,290,40,50,epanechnikov,0.005,euclidean
19,22,1,none,2,4,8,28,35,gaussian,0.005,euclidean
20,23,1,none,2,5,12,7,15,gaussian,0.005,euclidean
21,24,1,none,2,4,5,4,5,gaussian,0.005,euclidean
22,25,1,none,2,7,14,9,15,gaussian,0.005,euclidean
23,26,1,none,2,60,75,25,35,linear,0.005,euclidean
24,27,1,none,2,15,25,10,20,linear,0.005,euclidean
25,28,1,none,2,6,10,4,5,tophat,0.005,euclidean
26,29,1,none,2,50,70,8,15,gaussian,0.005,euclidean
27,30,1,none,2,7,10,13,19,gaussian,0.005,euclidean
28,31,1,none,2,8,15,10,15,gaussian,0.005,euclidean
29,32,2,tech,2,8,17,53,60,gaussian,0.005,euclidean
30,34,2,tech,2,10,15,20,25,gaussian,0.005,euclidean
31,37,1,none,2,20,30,8,12,gaussian,0.005,euclidean
32,38,1,none,2,8,25,10,15,gaussian,0.005,euclidean
33,40,1,none,2,90,110,40,45,tophat,0.005,manhattan
34,41,1,none,2,8,10,4,5,gaussian,0.005,euclidean
35,42,2,tech,2,4,6,80,105,gaussian,0.005,euclidean
36,43,2,tech,2,5,11,6,10,gaussian,0.005,euclidean
37,44,1,none,2,5,7,5,7,gaussian,0.005,euclidean
38,47,2,tech,2,4,7,5,9,gaussian,0.005,euclidean
39,48,2,tech,2,10,13,7,9,gaussian,0.005,euclidean
40,50,3,professional,2,6,10,6,12,gaussian,0.005,euclidean
41,51,1,none,2,25,40,12,20,gaussian,0.005,euclidean
42,52,1,none,2,6,10,6,9,gaussian,0.005,euclidean
43,53,3,professional,2,10,23,11,25,gaussian,0.005,euclidean
44,54,1,none,2,4,9,4,9,gaussian,0.005,euclidean
45,55,1,none,2,0,0,2,6,gaussian,0.005,euclidean
46,56,1,none,2,15,20,15,20,gaussian,0.005,euclidean
47,57,1,none,2,5,6,3,4,gaussian,0.005,euclidean
48,58,1,none,2,20,55,20,30,gaussian,0.005,euclidean
49,59,3,professional,2,10,20,50,60,gaussian,0.005,euclidean
50,60,3,professional,2,4,6,14,26,gaussian,0.005,euclidean
51,61,3,professional,2,10,16,16,22,gaussian,0.005,euclidean
52,62,3,professional,2,5,10,10,15,gaussian,0.005,euclidean
53,64,2,tech,2,12,20,10,18,gaussian,0.005,manhattan
54,65,2,tech,2,20,30,10,20,gaussian,0.0025,euclidean
55,63,1,none,2,50,85,45,70,gaussian,0.005,euclidean
56,66,2,tech,2,15,30,15,20,gaussian,0.005,euclidean
57,67,1,none,2,8,10,10,20,gaussian,0.005,euclidean
58,68,2,tech,2,45,80,45,55,linear,0.0025,euclidean
59,69,2,tech,2,4,7,5,8,gaussian,0.005,euclidean
1,1,2,tech,3,4,10,4,10,gaussian,0.0075,euclidean
2,2,1,none,3,10,8,19,9,gaussian,0.005,euclidean
3,3,1,none,3,3,10,50,65,gaussian,0.005,euclidean
4,4,1,none,3,12,18,30,40,linear,0.005,euclidean
5,6,1,none,3,13,20,13,26,gaussian,0.005,euclidean
6,7,1,none,3,125,175,40,60,tophat,0.0075,manhattan
7,8,2,tech,3,28,38,49,59,gaussian,0.005,euclidean
8,10,1,none,3,4,7,4,7,epacnechnikov,0.01,chebyshev
9,11,1,none,3,4,8,4,6,gaussian,0.0075,euclidean
10,12,1,none,3,20,50,5,30,gaussian,0.005,euclidean
11,13,1,none,3,15,48,15,48,gaussian,0.005,euclidean
12,14,1,none,3,40,50,10,12,gaussian,0.005,euclidean
13,15,1,none,3,2,6,3,6,gaussian,0.005,euclidean
14,16,3,professional,3,11,28,6,10,gaussian,0.005,euclidean
15,17,1,none,3,4,10,6,11,tophat,0.01,manhattan
16,18,1,none,3,2,5,2,6,gaussian,0.005,euclidean
17,19,1,none,3,14,50,25,50,gaussian,0.005,euclidean
18,20,1,none,3,450,600,50,60,epacnechnikov,0.005,euclidean
