	new_part_id	participant_id	group_num	background	kernel1	bandwidth1	metric1	min_hotspots1	max_hotspots1	min_circles1	max_circles1	kernel2	bandwidth2	metric2	min_hotspots2	max_hotspots2	min_circles2	max_circles2	kernel3	bandwidth3	metric3	min_hotspots3	max_hotspots3	min_circles3	max_circles3	StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q51_1	Q2_1	Q3_1	Q4_1	Q5_1	Q6_1	Q7_1	Q9	Q10	Q11	Q12	Q13	Q14	Q15	Q16	Q17	Q18	Q19	Q20	Q21	Q22	Q23	Q25	Q26	Q27_1	Q27_2	Q27_3	Q28_1	Q28_2	Q28_3	Q29	Q30_1	Q31	Q32	Q32_9_TEXT	Q33	Q33_9_TEXT	Q34	Q35	Q36	Q37	Q37_5_TEXT	Q38	Q39	Q40	Q41	Q42	Q43	Q44_1	Q45	Q46	Q51_1 - Sentiment	Q51_1 - Sentiment Score	Q51_1 - Sentiment Polarity	Q51_1 - Topics
0	1	1	2	tech	gaussian	0.0025	euclidean	4	20	5	10	gaussian	0.0025	euclidean	5	15	5	9	gaussian	0.0075	euclidean	4	10	4	10	2019-06-10 08:35:59	2019-06-10 09:43:55	IP Address	134.48.160.169	100.0	4075.0	True	2019-06-10 09:43:55	R_z71d8XYOosfJgl3					43.0388946533	-87.90650177	anonymous	EN	1.0	5.0	1.0	4.0	9.0	3.0	7.0	Mental Demand	Performance	Performance	Temporal Demand	Mental Demand	Frustration	Performance	Performance	Temporal Demand	Temporal Demand	Frustration	Temporal Demand	Effort	Mental Demand	Temporal Demand	Somewhat familiar	Somewhat familiar	Somewhat well	Somewhat well	Somewhat well	Somewhat useless	Neither useful nor useless	Neither useful nor useless	Neither	21.0	No	White		Male		Some college	Unmarried/Single	Part-time employment	Other (please specify)	University	$75,000 to $99,999	No	No	No	Neither agree nor disagree	Somewhat agree	5.0	Neutral	Neutral				
1	2	2	1	none	gaussian	0.005	euclidean	13	11	17	14	gaussian	0.005	euclidean	8	4	12	8	gaussian	0.005	euclidean	10	8	19	9	2019-06-11 07:56:27	2019-06-11 08:19:29	IP Address	134.48.161.64	100.0	1381.0	True	2019-06-11 08:19:29	R_1pE73w0ou8Dz2ms					43.0388946533	-87.90650177	anonymous	EN	2.0	8.0	1.0	3.0	1.0	1.0	2.0	Mental Demand	Performance	Performance	Temporal Demand	Effort	Physical Demand	Performance	Performance	Temporal Demand	Temporal Demand	Effort	Performance	Effort	Mental Demand	Temporal Demand	Very unfamiliar	Somewhat unfamiliar	Somewhat poorly	Neither well nor poorly	Neither well nor poorly	Neither useful nor useless	Somewhat useful	Somewhat useful	Neither	24.0	No	White		Female		Some college	Unmarried/Single	Full-time employment	For-profit company or business		$75,000 to $99,999	Yes	Yes	Yes	Somewhat agree	Somewhat disagree	2.0	Somewhat Libertarian	Somewhat fiscally conservative	Neutral	0.0	0.0	Unknown
2	3	3	1	none	gaussian	0.005	euclidean	10	24	50	65	gaussian	0.005	euclidean	3	10	50	65	gaussian	0.005	euclidean	3	10	50	65	2019-06-10 09:57:33	2019-06-10 12:01:26	IP Address	134.48.163.139	100.0	7432.0	True	2019-06-10 12:01:27	R_1GJR7iLMMxsnBst					43.0388946533	-87.90650177	anonymous	EN	3.0	13.0	3.0	1.0	14.0	12.0	7.0	Mental Demand	Performance	Mental Demand	Frustration	Mental Demand	Frustration	Performance	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Very unfamiliar	Very poorly	Very poorly	Neither well nor poorly	Very useless	Very useless	Very useless	Neither	34.0	No	White		Male		Bachelor's degree	Unmarried/Single	Full-time employment	Non-profit, tax-exempt, or charitable organization		$35,000 to $49,999	No	Yes	Yes	Agree	Somewhat agree	9.0	Authoritarian	Fiscally conservative	Neutral	0.0	0.0	Unknown
3	4	4	1	none	linear	0.005	euclidean	5	15	8	15	linear	0.005	euclidean	8	20	20	30	linear	0.005	euclidean	12	18	30	40	2019-06-10 15:20:03	2019-06-10 15:51:45	IP Address	134.48.163.130	100.0	1902.0	True	2019-06-10 15:51:45	R_39lrOHBpYe0nWyR					43.0388946533	-87.90650177	anonymous	EN	4.0	14.0	0.0	7.0	13.0	10.0	1.0	Mental Demand	Performance	Mental Demand	Frustration	Effort	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Frustration	Mental Demand	Somewhat unfamiliar	Very unfamiliar	Somewhat poorly	Somewhat poorly	Somewhat poorly	Somewhat useful	Neither useful nor useless	Somewhat useful	Aldermanic	21.0	No	White		Female		Bachelor's degree	Unmarried/Single	Student	For-profit company or business		Less than $25,000	No	No	No	Agree	Agree	5.0	Neutral	Somewhat fiscally conservative	Neutral	0.0	0.0	Unknown
4	5	6	1	none	gaussian	0.005	euclidean	9	16	19	13	gaussian	0.005	euclidean	6	9	9	13	gaussian	0.005	euclidean	13	20	13	26	2019-06-11 08:35:58	2019-06-11 09:25:49	IP Address	134.48.162.67	100.0	2991.0	True	2019-06-11 09:25:50	R_OIHbQcaTfMWABkR					43.0388946533	-87.90650177	anonymous	EN	6.0	12.0	3.0	6.0	3.0	9.0	16.0	Mental Demand	Performance	Performance	Temporal Demand	Mental Demand	Frustration	Performance	Performance	Effort	Temporal Demand	Frustration	Performance	Effort	Mental Demand	Mental Demand	Somewhat unfamiliar	Somewhat unfamiliar	Somewhat poorly	Somewhat well	Somewhat well	Somewhat useless	Somewhat useless	Neither useful nor useless	Neither	27.0	No	White		Female		Bachelor's degree	Unmarried/Single	Student	Non-profit, tax-exempt, or charitable organization		$25,000 to $34,999	Yes	Yes	Yes	Agree	Somewhat agree	1.0	Somewhat Authoritarian	Somewhat fiscally conservative	Neutral	0.0	0.0	Unknown
5	6	7	1	none	tophat	0.005	manhattan	50	90	50	55	epanechnikov	0.0075	manhattan	60	90	35	45	tophat	0.0075	manhattan	125	175	40	60	2019-06-11 13:55:56	2019-06-11 14:17:20	IP Address	134.48.162.132	100.0	1283.0	True	2019-06-11 14:17:21	R_2fIn07Me4QPjxwl					43.0388946533	-87.90650177	anonymous	EN	7.0	10.0	0.0	4.0	8.0	7.0	6.0	Mental Demand	Performance	Performance	Temporal Demand	Effort	Frustration	Performance	Performance	Temporal Demand	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Somewhat familiar	Neither well nor poorly	Neither well nor poorly	Somewhat well	Neither useful nor useless	Somewhat useful	Somewhat useful	Both	20.0	No	White		Female		Currently enrolled in college	Unmarried/Single	Part-time employment	For-profit company or business		$150,000 or more	Yes	No	Yes	Strongly agree	Agree	5.0	Somewhat Libertarian	Neutral	Neutral	0.0	0.0	Unknown
6	7	8	2	tech	gaussian	0.005	euclidean	40	55	20	30	gaussian	0.005	euclidean	23	30	34	40	gaussian	0.005	euclidean	28	38	49	59	2019-06-11 09:38:58	2019-06-11 11:47:25	IP Address	134.48.162.67	100.0	7706.0	True	2019-06-11 11:47:25	R_3D8uF3dapdAECPg					43.0388946533	-87.90650177	anonymous	EN	8.0	10.0	1.0	3.0	12.0	9.0	1.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Effort	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Mental Demand	Somewhat familiar	Somewhat familiar	Somewhat poorly	Somewhat poorly	Very well	Very useless	Very useless	Somewhat useful	Neither	21.0	No	White		Male		Currently enrolled in college	Unmarried/Single	Student	Not currently employed		$50,000 to $74,999	No	No	No	Somewhat agree	Neither agree nor disagree	5.0	Somewhat Libertarian	Fiscally conservative	Neutral	0.0	0.0	Unknown
7	8	10	1	none	gaussian	0.005	euclidean	6	12	9	14	tophat	0.0075	manhattan	7	13	5	11	epacnechnikov	0.01	chebyshev	4	7	4	7	2019-06-11 14:30:41	2019-06-11 15:57:38	IP Address	134.48.162.132	100.0	5216.0	True	2019-06-11 15:57:39	R_qR9K3hP8MfD1miB					43.0388946533	-87.90650177	anonymous	EN	10.0	5.0	0.0	0.0	15.0	5.0	0.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Mental Demand	Very unfamiliar	Somewhat familiar	Very poorly	Neither well nor poorly	Neither well nor poorly	Neither useful nor useless	Neither useful nor useless	Neither useful nor useless	Neither	26.0	No	White		Male		Bachelor's degree	Unmarried/Single	Full-time employment	For-profit company or business		$50,000 to $74,999	No	No	No	Somewhat agree	Somewhat agree	7.0	Libertarian	Fiscally conservative	Neutral	0.0	0.0	Unknown
8	9	11	1	none	gaussian	0.005	euclidean	10	18	6	10	gaussian	0.0075	euclidean	5	9	6	8	gaussian	0.0075	euclidean	4	8	4	6	2019-06-10 17:52:44	2019-06-11 11:06:14	IP Address	134.48.163.130	100.0	62009.0	True	2019-06-11 11:06:14	R_2RWwPbgJHuGwNig					43.0388946533	-87.90650177	anonymous	EN	11.0	4.0	1.0	10.0	14.0	9.0	1.0	Physical Demand	Performance	Mental Demand	Temporal Demand	Effort	Physical Demand	Effort	Performance	Effort	Physical Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat unfamiliar	Somewhat unfamiliar	Somewhat poorly	Somewhat poorly	Somewhat poorly	Somewhat useful	Somewhat useful	Somewhat useful	Aldermanic	21.0	Yes	White,Native American or First Nations		Male		Currently enrolled in college	Unmarried/Single	Student	Other (please specify)	Private Lutheran Elementary School 	$150,000 or more	Yes	Yes	Yes	Somewhat disagree	Somewhat disagree	2.0	Somewhat Libertarian	Somewhat fiscally Liberal	Positive	1.0	0.0	Unknown
9	10	12	1	none	gaussian	0.005	euclidean	17	50	5	30	gaussian	0.005	euclidean	10	18	5	15	gaussian	0.005	euclidean	20	50	5	30	2019-06-11 11:27:34	2019-06-11 12:05:18	IP Address	134.48.163.130	100.0	2264.0	True	2019-06-11 12:05:19	R_2pWzgUlbVfwLFg9					43.0388946533	-87.90650177	anonymous	EN	12.0	14.0	1.0	1.0	5.0	12.0	13.0	Mental Demand	Frustration	Mental Demand	Frustration	Effort	Frustration	Effort	Performance	Effort	Temporal Demand	Frustration	Performance	Effort	Frustration	Mental Demand	Somewhat unfamiliar	Very unfamiliar	Very poorly	Somewhat well	Neither well nor poorly	Very useless	Very useful	Somewhat useful	Neither	23.0	No	White		Male		Some college	Unmarried/Single	Student	Other (please specify)	Craigslist	$75,000 to $99,999	No	No	Yes	Somewhat disagree	Somewhat disagree	5.0	Neutral	Neutral	Neutral	0.0	0.0	Unknown
